Hash_Tag_Nino,2010-06-21 21:03:30,Curaçao,"WASH YOUR F***ING HANDS !!! 🤬
🧼
🦠
🧼
🦠
🧼

#Covid #COVID19 #Curacao #Curadise #pandemic #virus #samebutdifferent… https://t.co/BO5xAhIJjO"
maxziegfeld,2018-06-23 12:13:28,"North Hollywood, Los Angeles",#quarantine #stockpiling #food #sexylatino #latindancer #hombre #hotguy #shirtlessguys  I’ve eaten 2 weeks of groce… https://t.co/vXe9TiGv3j
ZGroupLA,2013-02-06 02:30:19,"Beverly Hills, California ",You know you got a good friend when they send this kind of care package #2020 #corona #covid-19 #thisOurLifeNow… https://t.co/9QjmJxdusw
itsfrmysol,2011-12-10 01:01:52,"Lexington, KY","How’s My Quarantine Going You Ask??? Well... Let these jackharlow vibes explain. •
•
•
•
#jackharlow #oncemaycomes… https://t.co/8ZCbVZ5bB2"
CardowJewelers,2012-06-29 15:08:34,"St. Thomas, USVI",The rarest diamonds on planet Earth. The pink diamond 💕 We have one more day of shopping. Online? Email us at custo… https://t.co/pfwT8OpoWB
HWBIGJ31,2011-09-24 14:29:58,,Well one positive thing about this Corona Virus ... is that I get more time to work on my Dance Movessssssssss 🕺🏿😭😂… https://t.co/MfXdH1CWX3
FWACATA,2006-11-22 14:55:23,Miami FL,"Quarantine Boredom? READ COMICS
DEAD WRONG page 13!
Quell your fears about the corona virus by reading a comic abou… https://t.co/wlyFWz4N6K"
itszako,2014-12-10 18:02:46,"Chicago, IL","Be back soon my friends #corona #cov19 #notMyVirus #quarantinefitness @ Chicago, Illinois https://t.co/prYeXugvgZ"
thatsNathan,2009-04-04 18:40:05,United Kingdom,"Here’s a smile because I feel like we need it! ⠀
⠀
Crazy to think this was less than two weeks ago and the words “C… https://t.co/tvq8ucEeU7"
SingerUsmanRaja,2015-07-15 23:13:03,"England, United Kingdom","ALBUM ALERT🚨  

With the wrath of corona causing people to self isolate, My new album brings you the best bangers t… https://t.co/9zweAYM55Q"
mangohair,2009-10-26 20:07:06,"leeds, yorkshire, uk",Don’t cut your own fringes either 😂😂 I’m feeling much better and will hopefully be back at work soon #fringe… https://t.co/K7Ps6Fp2oa
caochocolates,2009-05-25 02:27:00,9800 SW 77th Av Miami FL 33156,Many ask us how they can support us during all this Corona Virus craziness.   We are putting together online many o… https://t.co/Rbm5RwWZmn
CAD5000,2009-03-30 03:16:50,"Overlea, MD",Lunch #searchingfornormalcy #corona @ SLICE New York Pizza - Towson https://t.co/AZZ9AYjDM0
rickmak111,2009-03-30 03:58:09,"Des Moines, Iowa",BenG at UCLA medical center ER getting stitches. At least it’s not the corona virus like some of these other people… https://t.co/MUgld4TaUT
PastorAndyWOCC,2012-01-04 21:44:03,North Carolina,"Me and my main man @PastorChrisHill will be going live at 7pm est talkin Corona, church, people, life all of it! Yo… https://t.co/LRoDn3dpzH"
pjeglic,2009-10-04 08:57:20,"Ljubljana, Slovenija",Final check before the full lockdown in Slovenia starting at midnight #corona #virus #pandemia #lockdown #curfew… https://t.co/GfqAVGIR59
aprokorepublic,2018-12-11 20:14:17,"Lagos, Nigeria","Corona or no Corona we got you covered.. @kelvinsapp1 is already a success.. Don't miss this, medical team will be… https://t.co/3zazSOwARG"
aprokorepublic,2018-12-11 20:14:17,"Lagos, Nigeria","Corona or no Corona we got you covered.. @kelvinsapp1 is already a success.. Don't miss this, medical team will be… https://t.co/QaRerr3TI5"
aka_anp,2019-01-11 06:03:36,Boogie Down Bronx,This Corona Virus Shit has GONE TOO FAR!! They closed the Chicken Spot and the Chinese Spot. THIS IS MADNESS!!! WE'… https://t.co/1EKFUNcIBB
TheCandyBarTO,2012-11-06 17:41:18,"849 College St Toronto, ON","“This is how we order during the time of the corona”
.
Hop on your cell, call me- we chat and get your order togeth… https://t.co/qVCHJa07Fo"
ellajames,2008-05-11 11:38:54,"Los Angeles, California, USA",It’s like...I dunno any more. #corona #light @ Runyon Canyon Summit https://t.co/GqEVOKEUvg
adaezeokezieng,2013-07-10 20:32:00,"Yola, Nigeria",I came back from work yesterday and  #Nigeria announced that we now had 7 cases of Corona Virus a tinge of fear ent… https://t.co/FynnW1UuHC
Queenfine,2009-11-28 22:11:02,London,"The cat said not today or ever, am outer here,  🏃🏽‍♀️ aint  catching this #corona 😂😂😂  Y’all Stay Safe  💯 #thursday… https://t.co/omJolUWtJF"
PtCore,2013-01-31 06:56:53,,I HATE this Koon @Byrdgangshoota 🤦🏾‍♂️😂 Nigga Arguing me down about how he ain’t neva had corona in em dormant or o… https://t.co/w86ojNZBEN
Shamsha75820935,2019-04-03 16:27:30,india//oman ,"Technical rule
 (Corona related information)

 Corona virus also behaves like current, the only difference is that… https://t.co/McL7ki5gEv"
KDTOptometry,2009-03-16 19:38:38,"32.94956446,-117.0566118",Fresh air from nature clears the lungs and mind free of people and viruses #nature #health #corona #pandemic… https://t.co/pdp17lGa5B
Imagentleman,2009-03-12 16:10:14,"Tucson, AZ","Have you all taken advantage of the “ Corona Virus stuck inside sale!!” 
All gear on sale now!!! empire_vape_supply… https://t.co/zrFtusE3Ob"
DaphneGaspard,2011-01-01 03:45:38,,"Friends don’t let friends get fat during Corona. 👩🏻‍🤝‍👩🏼And, they don’t allow each other to go get sonicdrivein’s r… https://t.co/WkoTu2Gdr6"
claudiajordan,2009-03-14 05:02:50,"Dallas, TX and Los Angles, CA ",Day 1 of my 30 day Corona lockdown fitness challenge! To see my tips and my struggle workout from last night tune i… https://t.co/mY3hzlGaS4
boardmansub,2011-03-11 00:46:45,"Boardman, OH","To all of our customers, friends and families. Please take note that we will be closing our doors effective today a… https://t.co/uhgqK2XNhe"
sitt0rio,2019-11-21 19:34:55,"Milano, Lombardia",#coronavirusitalianews #corona #coronavirus #coronavirusbrazil #coronavirusitaly #coronavirusespaña #covid19italia… https://t.co/J2mcTWKf6w
totallyAud_,2013-09-22 05:04:58,"Los Angeles, CA","Dogs don’t get corona so more snuggs for the Bug! ❤️🐶❤️

Sending love to all at a virtually safe distance 😆 @ Torra… https://t.co/0bc22YmEcs"
shaanika_s,2018-05-05 19:42:51,Namibia,"Hear this: ""THIS CORONA is DEFEATED in the name of Jesus so STARVE your fear and FEED your FAITH!"" ~Prophet Uebert… https://t.co/UInUbSvVzk"
bnfouche,2012-04-03 03:56:09,JAX | FL,All this craziness is making me super glad we traveled to Costa Rica when we did. Also makes me wish the only coron… https://t.co/rmPzDwybLc
hillspetshop,2017-06-20 12:33:01,"Ramsbottom, England","Dog food deliveries 📦🦴 
As the Corona situation evolves we are trying to assess how best we can continue to support… https://t.co/Z2Bam43RUG"
FlatMind3,2011-06-19 20:36:18,"Beirut, Lebanon","#Beirut #streets during #lockdown #corona #stayhome #staypositive @ Beirut, Lebanon https://t.co/h0trEeHYws"
zyhopkins,2010-12-08 17:13:51,,"Look ma’, one hand!
Only 25 years since my last lesson can you tell?!
🧟
🧟
🧟
📷@kell_mitch
🧟‍♂️
yousician 
#corona… https://t.co/oqchLs2IQt"
JDubDetailing,2017-05-29 07:09:26,"Layton, UT","We wish that ceramic coating protected us from the corona virus, we do know that it helps protect your vehicles sur… https://t.co/NDSuZ4YyXW"
_jadenguyen,2011-11-16 21:39:15,Manchester | London,"#tbt to the times when we had more freedom🥴 
.
please corona, dont make us cancel summer 2020😭🙏🏼 @ Byron Bay, Austr… https://t.co/OyNDzyuGmj"
BennettLorusso,2015-08-06 13:23:22,"St Neots, Cambridgeshire",A Corona Virus update from us. Stay safe everyone... #openforbusiness #coronavirus #staysafe… https://t.co/6lwlFu1asM
thee_agency,2013-07-31 20:35:48,Atlanta Georgia,"HEY REPORTERS ~ NOWS THE TIME TO GO HARD ON SCENE

Tons to report with corona virus taking america into the new age… https://t.co/7LfX0mwbtB"
NOREIS,2009-05-30 07:03:50,"MIDRAND-Johannesburg,RSA","Can't wait for coming Sunday church service, Corona or no Corona.Jesus is Lord. @ Intels Camp Port Harcourt Nigeria https://t.co/RxBS9gJrd3"
goldentvafrica,2012-12-18 20:42:09,"Imo, Nigeria","That's how Nigerians protect themselves from corona @ Owerri, Imo https://t.co/7v6JNfh4xO"
disneychica88,2009-05-25 20:08:10,"Auburndale, FL","Just made some homemade banana 🍌 bread 🍞. It came out so yummy! With this corona situation, I’m over here making st… https://t.co/W8Zpq7NVcA"
JDubDetailing,2017-05-29 07:09:26,"Layton, UT","We wish that ceramic coating protected us from the corona virus, we do know that it helps protect your vehicles sur… https://t.co/VAChjgTGvi"
JLueMinner,2011-12-28 05:20:53,Unknown ,"I miss the game man!!!! This is your fault Corona 😤... @ Saint John's, Antigua and Barbuda https://t.co/XZmP67tkG6"
daylonc34,2014-01-23 03:40:34,"Winslow, ME",Unfortunately this was the last pic that I got in Vegas with kaliannakali 😔.... but this is my face from all the co… https://t.co/L6ceQ5CUV8
marcel_cameraop,2009-08-26 01:33:38,South Bay ,"Keeping busy #corona relief #socialdistancing #targetpractice #backyardboogie #merica @ Torrance, California https://t.co/CVGk21busf"
QueensHeadBox,2014-10-04 19:16:55,"Box, England","Corona Virus measurements being tacked very seriously at The Queens this evening 🍻🤣😂😆🥂👍.
.
.
.
.
.
#corona… https://t.co/CNaCRqbSBg"
lstelmachowski,2011-05-05 14:25:55,Edinburgh,"Live broadcast works! Now we can work 24/7, who needs break if you had such a lovely members! ;).
.
#live… https://t.co/djDBBrKDSe"
HR49HP19wale,2019-07-14 18:42:04,"Haryana, India","Social distancing is the key! 
#jantacurfew 
Please cooperate 
Jai hind  #lndiaFightsCorona #corona @ShatabdiShalee… https://t.co/u8Dx63C0dY"
CoyoteJoesMI,2010-02-10 18:31:38,"Shelby Township, MI",Stay safe &amp; see y’all soon 🌻🌼🌸@coyotejoesmi #spring #ladiesnight #coyotejoesmi #covid_19 #corona @ Shelby Charter T… https://t.co/47X9t7vdRF
OspinaAnipso,2014-04-22 23:47:24,New York,"Remember guys! Always wear protection. 
.
.
.
.
.
#trojan #condom #nyc #corona #coronatime #lol #funnyordie #meme… https://t.co/LSCw7eLtOl"
Ammy_Geox,2012-02-20 07:33:55,"Dar es Salaam, Tanzania",Setting out of Corona wards@Muhimbili National Hospital on progress💪🏿 @ Muhas Mloganzila Academic Hospital https://t.co/Olx0fKOvKz
babymama_reigns,2016-12-14 22:09:20,UK // UGANDA,Girl's accessories available in store @babymama_reigns💕  #corona #coronavirus #covid_19 #keepsafe #washyourhands… https://t.co/obcalKBxpq
DonGraigs,2019-12-22 20:24:36,,Let Today Be A Blessed Day; For The World! Let's All World Wide; Pray For Those Who Caught The Corona Virus! Those… https://t.co/LkZLFRC5Qw
MyRavensCross,2016-01-13 21:10:33,907 Mammoth Cave Road,Due to the growing health concerns of the Corona Virus we are temporarily closed until the ban is lifted by the Gov… https://t.co/melo3L09at
RoryScarlett,2011-06-14 15:37:56,"Oxford, London SE1, Paris","#tbt to work pre #isolation it's only been two days, but I miss working with people and decent internet speeds. It'… https://t.co/w6WwHpiixY"
QueB_DaBeastPT,2011-01-25 08:13:30,Dallas,"Day 3.... Corona-0, QueRona-3! Workout complete! WE WINNING!!!! 💪🏾💪🏾 
.
.
.
.
.

#Thursday #Thankful #Workout… https://t.co/iykr6jq1Wq"
babymama_reigns,2016-12-14 22:09:20,UK // UGANDA,Girl's accessories available in store @babymama_reigns💕  #corona #coronavirus #covid_19 #keepsafe #washyourhands… https://t.co/GcbTbRhYBP
LVTH313TH,2010-04-12 18:38:08," 3.000 Ft Above Detroit, MI",Hopefully Soon Ass This Corona Virus 🦠 Bullshit Die Down!!! Me ghavalli @Im_TurntUp &amp; Cast Gon Bring You All A… https://t.co/pcmidZmDTY
BuhbeccaBinks,2011-07-09 00:01:01,TX → LA,"Staying busy. 
.
.
.
.
.
.
.
.
.
.
.
.
#coronavirus #corona #quarantine #selfquarantine #stayathome #workfromhome… https://t.co/6YQb09AjWQ"
Corona_NY,2011-08-08 01:49:10,"Corona, NY",Corona NY Thu Mar 19th PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41
suzan189,2008-08-27 00:30:52,"Cherry Hill, NJ","This tickled my funny bone. #CoronaVirus #Corona #CoronaMemes @ Cherry Hill, New Jersey https://t.co/okeYmXmlnx"
RealFrankFromFL,2013-07-29 00:21:15,"Melbourne, FL","Social distancing after work...  with vodka. Sun, pool, music and plenty of vodka.   #socialdistancing #florida… https://t.co/rvgiYmLpFa"
2Pump4Tv,2009-04-23 01:45:07,"Pontiac, MI",It’s Almost Aries Season ♈️ 3/26 ‼️‼️‼️ Get Ready For All The Shenanigans &amp; Bullshit ! FUCK THE CORONA 🦠  #Aries… https://t.co/uj2Lf10Rrd
jenngraziano,2011-04-12 12:14:54,,"Spend time with people, not devices!!  Perfect time to disconnect and enjoy your own company and the company of tho… https://t.co/u6VTOmbToh"
montesjr711_a,2013-05-08 06:14:29,"California, USA",Reposted from juangreatfiesta Still OPEN #montebello #socialdistancing #smallbusiness #tacos #burritos #salsa #la… https://t.co/EDjSs46jEU
MrsDrBrown1,2019-06-20 21:02:28,"Pennsylvania, USA","This is rush-hour on I-80 West.
The 4:35 P.M. Martz bus is a coveted bus...that was until Corona. @ I-80 Westbound https://t.co/3rqgMyPraB"
Hemalayaa,2009-10-07 18:56:45,California,"#Repost cristi_christensen
・・・
Take that Corona Virus ‼️
.
Even as shit is getting REAL we have to find positive ou… https://t.co/AaovKRgDJ0"
kristorrance,2010-10-02 15:27:36,"Laguna Beach, CA","A WORD ABOUT SELF-CARE - 

The corona virus is impacting all of us.  Particularly now, we may be experiencing fear… https://t.co/WQDhxLT7ki"
DCakaMrPA,2011-07-20 19:18:46,"Harrisburg, PA",My guy @onetonuno and yours truly got some heat otw‼️😤🔥 #tiktok #corona #explore #viral #dance #music #instagood… https://t.co/HdLhfo3CJt
TracyLavinEvent,2013-02-04 15:18:56,Manchester UK,Advice if postponing your wedding or event during the coronavirus pandemic #corona #weddings #weddings2020… https://t.co/Hyfd0JElES
ooplydc,2017-04-20 13:45:22,Oke-Mosan Abeokuta Ogun State,"Dear Prospective YGD Participant,

Following the (March 18) press release on the immediate ban of mass gatherings i… https://t.co/LhG6L6IVEw"
MrBonde1,2009-09-16 03:53:52,"Toronto, ON","Still on... 

#LiveOnAir keeping you informed and entertained at the sametime... #tuneIN 

@G987FM #Toronto… https://t.co/dUz152zlpO"
WeAreMacaroni,2017-07-28 21:37:42,"New York, USA","Ohhh #corona @ Nassau County, New York https://t.co/rx3qkhHu9T"
PortlandBeerHub,2017-12-26 19:43:31,"Portland, ME","We CAN do this, Portland! 💪🏻 In an effort to keep you guys inside, safe and properly hydrated, the Portland Beer Hu… https://t.co/sVzM1Sffkr"
rubennavarronyc,2016-11-09 19:37:59,330 W 36 Rm 517  NY 10018,"Health and fitness. #corona #quarintine #damnit #heathbar #cereal #augmentedreality #bebrave @ New York, New York https://t.co/W8S5LkQy7Y"
LegendaryMsTee,2009-06-25 20:07:48,"New Orleans, La","#Repost mcshakielive with make_repost
・・・
Yes @godjblacknmild has passed from Corona related complications but at t… https://t.co/eSL4bJ5Mp5"
mwerichards,2010-04-05 20:54:29,Toronto,"I remember when the city was corona free and you could have a bonfire party, double fist some beers and not have to… https://t.co/OX7dUnW7pt"
ZimsMusic,2011-02-23 00:30:00,"Croydon, London",OUT NOW VIA ALL DIGITAL PLATFORMS 🤘🏾🔋⚡️🎵 #YouTube #Spotify #Itunes #Apple #Amazon #LinkUpTv #GrmDaily #Corona #2020… https://t.co/zwhNJzgzfQ
Boschgal,2010-11-24 20:38:03,London,Day 2 of the Corona Diaries...sour cream and chive pretzels from Penn State. I should have been on a BA flight to D… https://t.co/bIrrcRriri
drummersteve85,2011-02-04 21:02:15,Stevo world,"Ready to feel the energy again.... corona be gone!!!!!!
#readytoplay #drums #drummer #drummersofinstagram #drumlife… https://t.co/rzlvoQ55Qn"
J_Wids,2009-06-15 13:20:11,"Manhattan, New York ",This picture is from a time the history books will call PC...pre corona 🦠🌈 #TBT #FIP #LowTea #HelpMe @ Fire Island… https://t.co/T8Q4Ep9ID7
Scarletthairgal,2013-07-25 20:43:01,"Wichita, KS","You all know this is true 🤣

#corona #covid_19 #chickfila #thelordschicken #quarentine #socialdistancing @ Chick-fi… https://t.co/FyDm0cJ8Vb"
bukunmipreacher,2010-11-01 10:43:48,bukade@gmail.com,Fellow MC... how are you dealing with the many “Postponement In April events” #corona is affecting the work finally… https://t.co/9NVdSON0m6
BettinaDevin,2010-02-19 09:17:42,San Francisco,"Antidote to Corona fears: FOCUS ON THE POSITIVE! I am over the moon to be able to share this news: My student, lili… https://t.co/iIAeEDPUWF"
bulbulkhan420,2011-01-01 03:34:14,"Dhaka, Bangladesh","#CORONA_Virus

I live in Koblenz, Germany. If German government allow me than i want to work for Corona virus affec… https://t.co/T9BjmGWH0y"
DJVirusLive,2009-04-01 00:48:15,"Pacoima, Los Angeles","Theirs only room for one of us Corona Virus, I was here first 👊🏼💢💨 New Early 2000 RnB mix on the way to vibe in thi… https://t.co/IqvnddLpyz"
itscrazyhudai,2019-11-11 11:17:24,"Rostov-na-Donu, Russia","Quarantine time, Be safe and secure guys protect urself from Coronavirus(COVID19)!!!❤😎🤙🏻
.
#corona #covid_19… https://t.co/1REG9EWFME"
gelolocovlogs,2012-11-10 14:32:25,"Dubai, United Arab Emirates","Let's go #egyptian tonight! Thanks to my loyal friend, Mohammed! Also Mostafa! Thanks for the treats 😊 stay healthy… https://t.co/ooPrAwVgNu"
SergeRaymondMo1,2018-09-21 21:56:22,"Rawdon, Québec","🌟🌟🌜🌜👑🌛🌛🌟🌟Prince Serge Moreau, You see that cross on my forehead, well me and that cross we say f❤ck you to Corona V… https://t.co/2ZTANSEuJA"
JodyZimmerman,2010-01-04 15:58:32,"Louisville, Kentucky",The pups are I will be spending a lot of time in the woods until this Corona virus subsides. @ Fishermans Park https://t.co/UFPXi3LG5c
jasminegh3,2015-01-25 19:16:35,yay area,Corona who? https://t.co/VRJuZvGoaV
Canakin_Reigate,2019-07-08 09:16:13,"69 High Street,Reigate RH2 9AE","Please don’t be offended, this is Tom, our chef, giving the Corona virus the 2 fingers. We will not be deterred and… https://t.co/wSSKfMHbmV"
Astroguyz,2009-04-17 20:06:53,Sheltering @ Norfolk VA(UT-5),"From #2000 - a hidden gem of #Italy, the Sanctuario Madonna della Corona (Sanctuary of the Lady of the Crown) built… https://t.co/J3hbfSfJUi"
fotolinda,2009-02-17 17:33:26,,"“Girl Seeking Refuge in Magnolia Tree” #corona #loveinthetimeofcorona #pandemic @ Bethesda, Maryland https://t.co/NsBjIekzfA"
ShahidiAcoustic,2017-10-01 23:06:41,"St Paul, MN","Instrument....

#corona #quarantine #isolation #mode #mood #vibes #viral #soul #goodvibes #love #beautiful… https://t.co/rm63Hhwg22"
Scott1984FP,2009-08-14 06:48:30,"Bedford, Bedfordshire, Uk,","Great Corona Virus - Resident Evil - #MeMe :)

#ResidentEvil #CoronaVirus #RT #Share @ Bedford, Bedfordshire, Unite… https://t.co/LD9BCcu67D"
AdrianMooney01,2014-08-26 13:23:14,"London, England","Drove past #buckinghampalace this eve and it’s the epitome of London being like a ghost town, but it’s 7pm on a Mar… https://t.co/pvLV75Xb3V"
ballingerlaw,2010-12-22 21:11:30,"Canton, Georgia","While I am showing no signs of Corona Virus but I am self quarantined and sanitizing from the inside out. @ Duluth,… https://t.co/fKgOZfGO9e"
DrJimBright,2009-06-11 00:17:34,"Sydney, Australia",It’s a mad world but it is still a beautiful world #weightloss #weightlossjourney #fitness #fitnessmotivation… https://t.co/Fjiek5RKO1
jsem9891,2011-01-24 16:54:40,"Minneapolis, MN","Time for some quarantine cookies 😍😍 
.
.
.
.
.
.
@sweetmarthas @livetrack29 #covid_19 #corona #quarantineandchill… https://t.co/eICUqXAfPR"
BradReynolds3,2011-06-30 16:55:53,Nashville ,"Friends, I wanted to pass along this screenshot a good friend of mine sent me concerning the corona virus and recen… https://t.co/NhuhVvvi1E"
ShifTNightChild,2010-11-10 05:02:16,DC,Music is enforcing the Stafford Act and supports isolation and being quarantined and that nobody should be outside… https://t.co/PJG6JIw96B
staticpower18,2010-02-14 03:16:26,"Reading, PA",Corona virus approved activities at the Glass House!  #COVID19 #backtobasics #puzzlesrock #winelife #deerfootwinery… https://t.co/nxujZM6Lgv
worm2126,2011-08-14 21:15:02,"Mount Pleasant, SC","Whew!!!  This corona shit has me working to hard @ Mount Pleasant, South Carolina https://t.co/BXv11fvatU"
MrAshReads,2017-12-04 21:27:42,"Beloit, WI","Garage door with cat flap? #corona #socialdistancing #eveningwalk @ Beloit, Wisconsin https://t.co/8RZ1K7WckT"
BIGEDDIEMACIAS,2013-07-22 04:13:10,ROSWELL,"Had the privilege to do this mural at Taqueria Jalisco in beautiful Roswell, N.M
#supportlocal#together#corona#mexi… https://t.co/LbCEXThdJC"
bobtherobber,2012-11-28 21:36:21,,"Corona Virus had me disrespectful in Boston
@WHOISLYF @ Boston, Massachusetts https://t.co/VE62wfd7hw"
mcreaseyii,2008-08-13 02:34:12,"Lynchburg, Virginia",We can tour in groups of 10 or less! Don’t let COVID-19 stop you from planning your 2020 or 2021 wedding! Book a to… https://t.co/9PceIVBaiX
HumidourCigarMD,2011-08-03 16:51:39,"Cockeysville, MD","In protest of the coronavirus, Bert is sanitizing the doors while smoking a #BellaCarmella #corona! 🚪

On a lighter… https://t.co/iwmh5Qtuay"
digitalfilm2000,2011-12-30 21:41:59,Utah,"back to school, corona style. @ Centerville, Utah https://t.co/bxzpsAfPWF"
samuelfnswift,2015-06-24 21:40:49,"Kingston, PA","When I see someone cough!  
#corona #prowrestling @ Indianapolis, Indiana https://t.co/k1g33f2DyY"
WesWair,2009-03-24 22:26:52,"iPhone: 36.083122,-86.727341",Drinking a Corona Familiar by @GrupoModelo_MX @ Providence — https://t.co/85uJsAVyr4
LewisMHackfath,2009-08-15 00:14:38,"Boambee, Coffs Harbour","Quarantine Day 1/14
Status: Bored 😑 
Emotional State: Stable
.
.
.
#corona #covid_19 #isolation #nsw #australia… https://t.co/1bqogU7u2M"
CarlisioAC,2009-04-07 10:43:02,New York,"Be my quarintine and dance with me 💃 🎶 
•
•
•
#hiphop #rnb #pop #love #rap #dubstep #instagood #beat #beats #jam… https://t.co/yyppukYHAl"
amb_paul,2014-03-12 16:22:36,Namibia,"Ja ne, These difficult times such as now with the corona economic crisis also offer a window of opportunity for tho… https://t.co/mcACUsKXcT"
NargisFakhri,2010-01-06 14:21:25,Earth,"Are you bored?
.
.
.
.
#bored #housearrest #home #corona #virus #staysafe #havefun #tiktok #followme @ Los Angeles,… https://t.co/BUu74bJ13h"
rigormortem,2009-12-14 08:09:46,"Roma, Italia","Stay at home. Be a hero.

#covıd19 #italy #today
33190 #infected
3405 #death
4440 #healed
20200319

#covid… https://t.co/9c7UFziNDx"
CptnDjrEdEyEzz,2009-06-25 20:25:11,"Jamaica, Toronto, Vancouver","The hood! clean up nice.. and pretty EMPTY!! ✈🛫😎😍❤💥💣🎋😉👍🏽🙏🏽

#corona #virus #shutdown #places #like #panicatthedisco… https://t.co/lF7PYmMBBe"
RomanTheChef,2009-04-26 21:06:01,"Denton, GA","Smoking with the neighbor. Quarantined and bbq’d. 

#smoke #southgeorgia #food #southernliving #georgia #love… https://t.co/x8u3qdZ1fk"
hotcocoa89,2009-04-17 00:39:01,N 42°24' 0'' / W 83°13' 0'',Chef Keena at your service.... Waffle by hubby and banana fosters by moi! 🍌❤️ #bananasfoster #soeasy #chefboyardee… https://t.co/syJr1WAROi
JoeyMikos,2011-04-26 13:24:33,Brooklyn,"#tbt to #MardiGras a few weeks back while we were all catching the #corona 
.
.
.
#nycphotographer #neworleans… https://t.co/hik5blXxb9"
BrianSomeraCAF,2007-08-29 16:32:52,"Chicago, IL",#TBT to when dining-in was a thing. #thosewerethedays #newnormal #corona #mychicagopix @ RPM Seafood https://t.co/4nhD8RfJdA
midsouthmalibu,2008-12-10 22:19:37,MIDWEST-SOUTHEAST MARKET,@1tybandz #BandNation is this facts... 🤦🏾‍♂️🤣 #Wipemedown #broner #corona #media #wild #midsouthmktnpr… https://t.co/FcReqAf3EL
maithreyi_s,2010-02-03 19:31:25,London,My way to beat the #corona #selfisolation #stress - taking some time to soak in the peace &amp; sounds of nature in the… https://t.co/YoQAm0XXcH
scottmasartis,2009-03-18 14:03:44,"Pittsburgh, PA ","How is @anytimefitness on Route 228 in #Cranberry #Township still #open? 

#corona #virus #2020 @ Anytime Fitness https://t.co/z4XAiuhYj4"
njmuna,2010-02-24 09:10:18,NYC,"For when regular Corona no longer provides the same thrill, #chocolatecorona @ New York, New York https://t.co/y5pyb12vsB"
maddysoap,2011-04-23 16:50:06,d[m]v,"wishing “corona” only referred to a refreshing beverage... 
.
keep up the social distancing, sanitation, and self q… https://t.co/mqZdaqkvRx"
mmaxtra,2009-03-18 16:25:00,NY,"No gym no weights no problem 
Warm up with something like jumping jacks
Body circuit
Squats
Lunges
Air squat jumps… https://t.co/xwycgMJEVH"
WinkWestwood,2011-03-06 01:14:54,"Houston, TX",Me at the grocery store earlier in the juice aisle https://t.co/3SBIVAKFUV
atl_strip_clubs,2019-03-11 06:52:31,"Atlanta, GA","Unfortunately strip clubs in Atlanta Georgia are closed until further notice. 😔

@StripperAtlanta

#boohoo… https://t.co/A5zfWsG9qS"
mirandaspigener,2010-09-13 15:53:51,"Malibu, CA",So this script is under tight #nondisclosureagreements it’s a high budget w/deal in place &amp; I just revised rewrote… https://t.co/zIOGY6UiAW
Kazzuzzu,2011-02-15 05:09:46,"Portland, OR","Corona Sunsets 🌅 @ Southeast Portland, Portland https://t.co/8YjZnLKupj"
